epoch,step,train_loss,val_loss
0,49,15.715576171875,
0,78,,15.485122680664062
1,99,15.219948768615723,
1,149,15.894326210021973,
1,157,,15.220776557922363
2,199,15.247997283935547,
2,236,,15.288623809814453
3,249,15.859642028808594,
3,299,15.26880168914795,
3,315,,15.314286231994629
4,349,15.349958419799805,
4,394,,15.192244529724121
5,399,16.136245727539062,
5,449,16.205825805664062,
5,473,,15.172906875610352
6,499,15.7830228805542,
6,549,14.95556640625,
6,552,,15.173852920532227
7,599,16.232776641845703,
7,631,,15.166080474853516
8,649,15.755990982055664,
8,699,14.451034545898438,
8,710,,15.17546558380127
9,749,15.09117603302002,
9,789,,15.16804313659668
10,799,15.52103042602539,
10,849,14.929929733276367,
10,868,,15.16720199584961
11,899,15.950714111328125,
11,947,,15.165285110473633
12,949,15.552352905273438,
12,999,15.357585906982422,
12,1026,,15.16322135925293
13,1049,15.593900680541992,
13,1099,15.412113189697266,
13,1105,,15.173151016235352
14,1149,14.9271879196167,
14,1184,,15.16088581085205
15,1199,15.263004302978516,
15,1249,14.979782104492188,
15,1263,,15.159127235412598
16,1299,15.445009231567383,
16,1342,,15.163671493530273
17,1349,15.27750015258789,
17,1399,14.70564079284668,
17,1421,,15.182710647583008
18,1449,14.581666946411133,
18,1499,15.28876781463623,
18,1500,,15.161687850952148
19,1549,14.832054138183594,
19,1579,,15.16118335723877
20,1599,16.048294067382812,
20,1649,14.596708297729492,
20,1658,,15.168387413024902
21,1699,15.412620544433594,
21,1737,,15.182296752929688
22,1749,15.765121459960938,
22,1799,14.669609069824219,
22,1816,,15.1854829788208
23,1849,15.399892807006836,
23,1895,,15.171146392822266
24,1899,15.673882484436035,
24,1949,16.222999572753906,
24,1974,,15.179107666015625
25,1999,15.11129379272461,
25,2049,15.911879539489746,
25,2053,,15.195047378540039
26,2099,14.564952850341797,
26,2132,,15.192867279052734
27,2149,14.82906723022461,
27,2199,14.812227249145508,
27,2211,,15.20293140411377
28,2249,14.858393669128418,
28,2290,,15.209083557128906
29,2299,15.10633659362793,
29,2349,15.199070930480957,
29,2369,,15.227931022644043
30,2399,14.797210693359375,
30,2448,,15.254865646362305
31,2449,14.994203567504883,
31,2499,14.661208152770996,
31,2527,,15.227530479431152
32,2549,14.765666007995605,
32,2599,14.11376667022705,
32,2606,,15.271171569824219
33,2649,14.132072448730469,
33,2685,,15.249360084533691
34,2699,14.423235893249512,
34,2749,15.235257148742676,
34,2764,,15.252121925354004
35,2799,14.507781982421875,
35,2843,,15.244932174682617
36,2849,15.226924896240234,
36,2899,14.606643676757812,
36,2922,,15.247207641601562
37,2949,14.596128463745117,
37,2999,15.519908905029297,
37,3001,,15.294376373291016
38,3049,16.288602828979492,
38,3080,,15.291158676147461
39,3099,15.440323829650879,
39,3149,14.429238319396973,
39,3159,,15.346138954162598
40,3199,15.129131317138672,
40,3238,,15.337128639221191
41,3249,14.082595825195312,
41,3299,14.807157516479492,
41,3317,,15.319222450256348
42,3349,14.576153755187988,
42,3396,,15.376521110534668
43,3399,14.823665618896484,
43,3449,14.7672758102417,
43,3475,,15.347371101379395
44,3499,14.51307201385498,
44,3549,14.350276947021484,
44,3554,,15.327085494995117
45,3599,14.234728813171387,
45,3633,,15.268974304199219
46,3649,14.574830055236816,
46,3699,14.042366027832031,
46,3712,,15.281682968139648
47,3749,13.791851043701172,
47,3791,,15.291618347167969
48,3799,13.95337963104248,
48,3849,14.825142860412598,
48,3870,,15.298807144165039
49,3899,14.181353569030762,
49,3949,14.355172157287598,
49,3949,,15.225167274475098
